Word;Frequency;%
cursed;4;0.0125188
deep;4;0.0125188
desires;4;0.0125188
desperate;4;0.0125188
didst;4;0.0125188
died;4;0.0125188
direct;4;0.0125188
discretion;4;0.0125188
distracted;4;0.0125188
drift;4;0.0125188
ease;4;0.0125188
ecstasy;4;0.0125188
entertainment;4;0.0125188
except;4;0.0125188
fain;4;0.0125188
favour;4;0.0125188
fellows;4;0.0125188
follows;4;0.0125188
forget;4;0.0125188
frame;4;0.0125188
freely;4;0.0125188
gainst;4;0.0125188
glad;4;0.0125188
grown;4;0.0125188
guard;4;0.0125188
habit;4;0.0125188
hall;4;0.0125188
hang;4;0.0125188
hearing;4;0.0125188
hecuba;4;0.0125188
hence;4;0.0125188
herein;4;0.0125188
horrible;4;0.0125188
iii;4;0.0125188
image;4;0.0125188
imagination;4;0.0125188
imports;4;0.0125188
incestuous;4;0.0125188
infinite;4;0.0125188
instant;4;0.0125188
iv;4;0.0125188
keeps;4;0.0125188
kept;4;0.0125188
kill;4;0.0125188
knows;4;0.0125188
ladies;4;0.0125188
lands;4;0.0125188
lead;4;0.0125188
leaves;4;0.0125188
leisure;4;0.0125188
lend;4;0.0125188
length;4;0.0125188
lest;4;0.0125188
lights;4;0.0125188
lives;4;0.0125188
lookd;4;0.0125188
main;4;0.0125188
masters;4;0.0125188
meant;4;0.0125188
mercy;4;0.0125188
mess;4;0.0125188
messenger;4;0.0125188
methought;4;0.0125188
minds;4;0.0125188
mock;4;0.0125188
modesty;4;0.0125188
month;4;0.0125188
months;4;0.0125188
motion;4;0.0125188
native;4;0.0125188
need;4;0.0125188
nights;4;0.0125188
occasion;4;0.0125188
pate;4;0.0125188
pause;4;0.0125188
pay;4;0.0125188
person;4;0.0125188
pity;4;0.0125188
platform;4;0.0125188
pleasure;4;0.0125188
polack;4;0.0125188
possible;4;0.0125188
practice;4;0.0125188
present;4;0.0125188
priam;4;0.0125188
priest;4;0.0125188
property;4;0.0125188
quality;4;0.0125188
quantity;4;0.0125188
quite;4;0.0125188
